date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2021-07-06,18:00:00,40.72937,-73.955444,0,0,Obstruction/Debris
2021-07-05,17:20:00,40.683754,-73.88565,0,0,Driver Inexperience
2021-09-11,09:10:00,40.70413,-73.76984,0,0,Turning Improperly
2021-09-11,21:45:00,40.609985,-73.96239,0,0,Unspecified
2021-07-09,06:51:00,40.673676,-73.86576,1,0,View Obstructed/Limited
2021-09-11,21:00:00,40.751442,-73.97606,1,0,Unspecified
2021-07-08,14:30:00,40.86514,-73.801544,1,0,Unspecified
2021-09-11,18:38:00,40.72218,-73.84406,0,0,Passing or Lane Usage Improper
2021-09-11,15:28:00,40.797924,-73.9296,0,0,Unspecified
2021-09-05,16:40:00,40.626373,-73.99754,0,0,Driver Inattention/Distraction
2021-09-11,05:26:00,40.883133,-73.882095,1,0,Lost Consciousness
2021-09-11,12:30:00,40.90222,-73.85589,0,0,Aggressive Driving/Road Rage
2021-09-10,12:10:00,40.72717,-73.78739,0,0,Backing Unsafely
2021-06-26,10:30:00,40.600792,-73.76711,0,0,Unspecified
2021-07-01,21:00:00,40.84434,-73.91475,0,0,Unsafe Lane Changing
2021-04-16,17:55:00,40.67922,-73.90405,0,0,Unspecified
2021-09-11,13:10:00,40.802982,-73.93815,0,0,Driver Inattention/Distraction
2021-07-04,00:58:00,40.731544,-73.955315,1,0,Driver Inattention/Distraction
2021-09-11,02:38:00,40.683323,-73.80648,1,0,Unsafe Speed
2021-07-04,21:00:00,40.732006,-73.95795,1,0,Alcohol Involvement
2021-09-11,18:00:00,40.6544,-73.92044,1,0,Failure to Yield Right-of-Way
2021-07-02,16:45:00,40.589592,-73.786385,0,0,Unsafe Speed
2021-09-11,15:10:00,40.736164,-73.97891,0,0,Traffic Control Disregarded
2021-07-03,10:18:00,40.59723,-73.76237,1,0,Failure to Yield Right-of-Way
2021-09-11,14:40:00,40.67393,-73.999954,2,0,Driver Inattention/Distraction
2021-09-11,02:00:00,40.840153,-73.88572,0,0,Unsafe Speed
2021-09-11,23:00:00,40.599503,-74.067116,0,0,Unspecified
2021-07-04,08:00:00,40.822456,-73.868065,0,0,Unspecified
2021-09-11,15:30:00,40.59841,-73.97592,0,0,Driver Inattention/Distraction
2021-09-11,14:30:00,40.697083,-73.85476,0,0,Passing Too Closely
2021-07-08,06:00:00,40.896385,-73.87246,0,0,Turning Improperly
2021-08-11,00:01:00,40.695637,-73.80372,0,0,Unsafe Speed
2021-09-11,09:30:00,40.69982,-73.996254,0,0,Passing Too Closely
2021-09-11,16:40:00,40.590313,-74.09794,0,0,Passing or Lane Usage Improper
2021-09-11,18:05:00,40.787544,-73.82394,0,0,Failure to Yield Right-of-Way
2021-09-11,02:00:00,40.67539,-73.88113,0,0,Driver Inattention/Distraction
2021-09-07,08:03:00,40.634007,-74.07516,1,0,Driver Inattention/Distraction
2021-09-11,13:53:00,40.73844,-73.88628,0,0,Backing Unsafely
2021-07-08,11:50:00,40.60855,-74.13216,2,0,Driver Inattention/Distraction
2021-09-11,14:00:00,40.58573,-74.16865,0,0,Driver Inattention/Distraction
2021-09-11,07:09:00,40.599907,-73.94664,1,0,Unspecified
2021-07-08,15:40:00,40.806713,-73.93782,0,0,Driver Inexperience
2021-09-07,03:00:00,40.748318,-73.87742,1,0,Driver Inattention/Distraction
